invoice id;email;country;invoicing date;amount
1;andrew.le@brewer-bryant.com;FR;2023-01-04;0
2;kristi.owen@andersen-luna.org;FR;2023-01-08;99
3;richard.cruz@smith.com;UK;2023-01-19;99
4;nathan.hatfield@hogan.biz;IT;2023-01-15;99
5;julie.holmes@rodriguez-hernandez.com;FR;2023-01-06;0
6;crystal.johnson@williams.com;ES;2023-01-20;199
7;patty.murphy@waters.com;FR;2023-01-18;199
8;jerome.thornton@pierce.biz;FR;2023-01-04;199
9;kimberly.simmons@mckee-stewart.com;IT;2023-01-02;99
10;amanda.coleman@wilkins.biz;FR;2023-01-11;199
11;andrew.le@brewer-bryant.com;FR;2023-02-04;199
12;kristi.owen@andersen-luna.org;FR;2023-02-08;199
13;richard.cruz@smith.com;UK;2023-02-19;199
14;nathan.hatfield@hogan.biz;IT;2023-02-15;199
15;julie.holmes@rodriguez-hernandez.com;FR;2023-02-06;199
16;crystal.johnson@williams.com;ES;2023-02-20;199
17;patty.murphy@waters.com;FR;2023-02-18;199
18;jerome.thornton@pierce.biz;FR;2023-02-04;199
19;kimberly.simmons@mckee-stewart.com;IT;2023-02-02;0
20;amanda.coleman@wilkins.biz;FR;2023-02-11;399
21;andrew.le@brewer-bryant.com;FR;2023-03-04;199
22;kristi.owen@andersen-luna.org;FR;2023-03-08;199
23;richard.cruz@smith.com;UK;2023-03-19;199
24;nathan.hatfield@hogan.biz;IT;2023-03-15;199
25;julie.holmes@rodriguez-hernandez.com;FR;2023-03-06;199
26;crystal.johnson@williams.com;ES;2023-03-20;199
27;patty.murphy@waters.com;FR;2023-03-18;199
28;jerome.thornton@pierce.biz;FR;2023-03-04;199
29;kimberly.simmons@mckee-stewart.com;IT;2023-03-02;199
30;amanda.coleman@wilkins.biz;FR;2023-03-11;199
31;andrew.le@brewer-bryant.com;FR;2023-04-04;199
32;kristi.owen@andersen-luna.org;FR;2023-04-08;199
33;richard.cruz@smith.com;UK;2023-04-19;199
34;nathan.hatfield@hogan.biz;IT;2023-04-15;199
35;julie.holmes@rodriguez-hernandez.com;FR;2023-04-06;199
36;crystal.johnson@williams.com;ES;2023-04-20;0
37;patty.murphy@waters.com;FR;2023-04-18;199
38;jerome.thornton@pierce.biz;FR;2023-04-04;199
39;kimberly.simmons@mckee-stewart.com;IT;2023-04-02;0
40;amanda.coleman@wilkins.biz;FR;2023-04-11;299
